# mach l_inj l_dis alpha cost cost_sigma sigma_0 sigma_1 sigma_2 sigma_3 sigma_4 sigma_5
0.6313736420364912 1.0 0.001 -3.6666666666666665 175.9527712204422 175.55245335819401 473.07725148390176 473.07725148390176 473.07725148390176 473.07725148390176 473.07725148390176 473.07725148390176
0.05487500000000001 1.0 0.001 -3.6666666666666665 2636.7472312289565 220.01359724114266 41.1168798422515 41.1168798422515 41.1168798422515 41.1168798422515 41.1168798422515 41.1168798422515
0.064625 1.0 0.001 -3.6666666666666665 2107.2268798310747 199.26655056418278 48.422384688938536 48.422384688938536 48.422384688938536 48.422384688938536 48.422384688938536 48.422384688938536
0.074375 1.0 0.001 -3.6666666666666665 1676.3248139430466 179.50793326238718 55.7278895356256 55.7278895356256 55.7278895356256 55.7278895356256 55.7278895356256 55.7278895356256
0.084125 1.0 0.001 -3.6666666666666665 1333.4977063731471 160.7888575541857 63.03339438231265 63.03339438231265 63.03339438231265 63.03339438231265 63.03339438231265 63.03339438231265
0.093875 1.0 0.001 -3.6666666666666665 1063.84762678205 143.15019759437857 70.33889922899971 70.33889922899971 70.33889922899971 70.33889922899971 70.33889922899971 70.33889922899971
0.103625 1.0 0.001 -3.6666666666666665 852.5866529161957 126.62259670436798 77.64440407568675 77.64440407568675 77.64440407568675 77.64440407568675 77.64440407568675 77.64440407568675
0.113375 1.0 0.001 -3.6666666666666665 686.8993298696829 111.22667405324289 84.94990892237381 84.94990892237381 84.94990892237381 84.94990892237381 84.94990892237381 84.94990892237381
0.12312500000000001 1.0 0.001 -3.6666666666666665 556.4089566019614 96.97340872563743 92.25541376906088 92.25541376906088 92.25541376906088 92.25541376906088 92.25541376906088 92.25541376906088
0.132875 1.0 0.001 -3.6666666666666665 453.0175243190513 83.8646749668639 99.56091861574792 99.56091861574792 99.56091861574792 99.56091861574792 99.56091861574792 99.56091861574792
0.142625 1.0 0.001 -3.6666666666666665 370.52993701834146 71.89389990553909 106.86642346243495 106.86642346243495 106.86642346243495 106.86642346243495 106.86642346243495 106.86642346243495
0.152375 1.0 0.001 -3.6666666666666665 304.2528112086696 61.04681413963566 114.17192830912204 114.17192830912204 114.17192830912204 114.17192830912204 114.17192830912204 114.17192830912204
0.162125 1.0 0.001 -3.6666666666666665 250.64199865720624 51.30226606154636 121.47743315580905 121.47743315580905 121.47743315580905 121.47743315580905 121.47743315580905 121.47743315580905
0.171875 1.0 0.001 -3.6666666666666665 207.01829911377203 42.63307245518871 128.7829380024961 128.7829380024961 128.7829380024961 128.7829380024961 128.7829380024961 128.7829380024961
0.181625 1.0 0.001 -3.6666666666666665 171.3481315483823 35.006880452475016 136.08844284918322 136.08844284918322 136.08844284918322 136.08844284918322 136.08844284918322 136.08844284918322
0.191375 1.0 0.001 -3.6666666666666665 142.07840320325298 28.387019108641322 143.39394769587022 143.39394769587022 143.39394769587022 143.39394769587022 143.39394769587022 143.39394769587022
0.201125 1.0 0.001 -3.6666666666666665 118.01382443159186 22.733322380924662 150.69945254255728 150.69945254255728 150.69945254255728 150.69945254255728 150.69945254255728 150.69945254255728
0.210875 1.0 0.001 -3.6666666666666665 98.22635445388843 18.002908937870703 158.00495738924434 158.00495738924434 158.00495738924434 158.00495738924434 158.00495738924434 158.00495738924434
0.220625 1.0 0.001 -3.6666666666666665 81.9885142752977 14.1509077921972 165.3104622359314 165.3104622359314 165.3104622359314 165.3104622359314 165.3104622359314 165.3104622359314
0.230375 1.0 0.001 -3.6666666666666665 68.7242479735661 11.131122088288365 172.61596708261845 172.61596708261845 172.61596708261845 172.61596708261845 172.61596708261845 172.61596708261845
0.240125 1.0 0.001 -3.6666666666666665 57.97262363901203 8.896626380208705 179.9214719293055 179.9214719293055 179.9214719293055 179.9214719293055 179.9214719293055 179.9214719293055
0.24987499999999999 1.0 0.001 -3.6666666666666665 49.36091524013254 7.400295342834572 187.22697677599254 187.22697677599254 187.22697677599254 187.22697677599254 187.22697677599254 187.22697677599254
0.259625 1.0 0.001 -3.6666666666666665 42.584544205853554 6.5952640379264205 194.53248162267957 194.53248162267957 194.53248162267957 194.53248162267957 194.53248162267957 194.53248162267957
0.26937500000000003 1.0 0.001 -3.6666666666666665 37.39204913332674 6.435321607938008 201.83798646936668 201.83798646936668 201.83798646936668 201.83798646936668 201.83798646936668 201.83798646936668
0.27912499999999996 1.0 0.001 -3.6666666666666665 33.57375383507192 6.875241613885591 209.14349131605368 209.14349131605368 209.14349131605368 209.14349131605368 209.14349131605368 209.14349131605368
0.288875 1.0 0.001 -3.6666666666666665 30.95316706500413 7.871053205412052 216.44899616274074 216.44899616274074 216.44899616274074 216.44899616274074 216.44899616274074 216.44899616274074
0.29862500000000003 1.0 0.001 -3.6666666666666665 29.380409476568513 9.380257956080076 223.75450100942783 223.75450100942783 223.75450100942783 223.75450100942783 223.75450100942783 223.75450100942783
0.30837499999999995 1.0 0.001 -3.6666666666666665 28.727152736316583 11.36199756395746 231.0600058561148 231.0600058561148 231.0600058561148 231.0600058561148 231.0600058561148 231.0600058561148
0.318125 1.0 0.001 -3.6666666666666665 28.882692705391193 13.777177756235531 238.36551070280186 238.36551070280186 238.36551070280186 238.36551070280186 238.36551070280186 238.36551070280186
0.327875 1.0 0.001 -3.6666666666666665 29.75087796461054 16.588553694216742 245.67101554948903 245.67101554948903 245.67101554948903 245.67101554948903 245.67101554948903 245.67101554948903
