# mach l_inj l_dis alpha cost cost_sigma sigma_0 sigma_1 sigma_2 sigma_3 sigma_4
0.7148050259819705 1.0 0.001 -3.6666666666666665 0.0007083366024839772 191.5919853455157 545.4183274074379 545.4183274074379 545.4183274074379 545.4183274074379 545.4183274074379
0.05487500000000001 1.0 0.001 -3.6666666666666665 553.6634057195813 207.70343824211122 41.871321029628675 41.871321029628675 41.871321029628675 41.871321029628675 41.871321029628675
0.064625 1.0 0.001 -3.6666666666666665 472.76893087185266 187.91313677977993 49.31087237430073 49.31087237430073 49.31087237430073 49.31087237430073 49.31087237430073
0.074375 1.0 0.001 -3.6666666666666665 399.22653770801 169.07763151340023 56.750423718972804 56.750423718972804 56.750423718972804 56.750423718972804 56.750423718972804
0.084125 1.0 0.001 -3.6666666666666665 334.64163014726506 151.24768024078037 64.18997506364487 64.18997506364487 64.18997506364487 64.18997506364487 64.18997506364487
0.093875 1.0 0.001 -3.6666666666666665 279.3151052245849 134.46351189174447 71.62952640831693 71.62952640831693 71.62952640831693 71.62952640831693 71.62952640831693
0.103625 1.0 0.001 -3.6666666666666665 232.73560062358663 118.75486160465209 79.06907775298899 79.06907775298899 79.06907775298899 79.06907775298899 79.06907775298899
0.113375 1.0 0.001 -3.6666666666666665 193.9717835904529 104.14121566959963 86.50862909766106 86.50862909766106 86.50862909766106 86.50862909766106 86.50862909766106
0.12312500000000001 1.0 0.001 -3.6666666666666665 161.94113498000414 90.63224171515253 93.94818044233313 93.94818044233313 93.94818044233313 93.94818044233313 93.94818044233313
0.132875 1.0 0.001 -3.6666666666666665 135.57189931548893 78.22837522371613 101.3877317870052 101.3877317870052 101.3877317870052 101.3877317870052 101.3877317870052
0.142625 1.0 0.001 -3.6666666666666665 113.88745240680217 66.92153100319707 108.82728313167723 108.82728313167723 108.82728313167723 108.82728313167723 108.82728313167723
0.152375 1.0 0.001 -3.6666666666666665 96.04069031735706 56.69590751343548 116.26683447634933 116.26683447634933 116.26683447634933 116.26683447634933 116.26683447634933
0.162125 1.0 0.001 -3.6666666666666665 81.31941524648286 47.52885273791523 123.70638582102137 123.70638582102137 123.70638582102137 123.70638582102137 123.70638582102137
0.171875 1.0 0.001 -3.6666666666666665 69.13678423820396 39.39176232981715 131.14593716569343 131.14593716569343 131.14593716569343 131.14593716569343 131.14593716569343
0.181625 1.0 0.001 -3.6666666666666665 59.01542155041439 32.250983737801896 138.58548851036554 138.58548851036554 138.58548851036554 138.58548851036554 138.58548851036554
0.191375 1.0 0.001 -3.6666666666666665 50.570025044552594 26.068703618069396 146.0250398550376 146.0250398550376 146.0250398550376 146.0250398550376 146.0250398550376
0.201125 1.0 0.001 -3.6666666666666665 43.490918179280925 20.80379977230764 153.46459119970964 153.46459119970964 153.46459119970964 153.46459119970964 153.46459119970964
0.210875 1.0 0.001 -3.6666666666666665 37.52960210606233 16.412642860312864 160.90414254438167 160.90414254438167 160.90414254438167 160.90414254438167 160.90414254438167
0.220625 1.0 0.001 -3.6666666666666665 32.48659779941101 12.849837012869878 168.34369388905378 168.34369388905378 168.34369388905378 168.34369388905378 168.34369388905378
